batch_label,strategy_name,parent,family,group,side,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,legacy_equity_cd_value,official_pass_mdd_lt_5,verdict,description
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I070_post_loss_brake_plb20,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,93,56,37,60.215054,1.165494,1.329032,0.212239,6.261968197,100.950782,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb20; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I068_post_loss_brake_plb18,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,104,55,49,52.884615,1.045306,1.221286,0.215427,5.669132141,100.827626,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb18; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I193_soft_safe_mix_ssm13,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,soft_safe_mix,long,5m,597,96,49,47,51.041667,0.840378,0.903005,0.1729,5.222698544,100.666025,True,official_mdd_pass,"8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=soft_safe_mix; tag=ssm13; focus=mix strict lowanchor shocklow as conditional safety, not full entry starvation"
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I198_soft_safe_mix_ssm18,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,soft_safe_mix,long,5m,597,68,39,29,57.352941,0.704276,0.778187,0.155048,5.018993562,100.548135,True,official_mdd_pass,"8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=soft_safe_mix; tag=ssm18; focus=mix strict lowanchor shocklow as conditional safety, not full entry starvation"
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I067_post_loss_brake_plb17,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,106,53,53,50.0,0.845652,1.044502,0.226002,4.621650603,100.617739,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb17; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I188_soft_safe_mix_ssm08,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,soft_safe_mix,long,5m,597,146,71,75,48.630137,1.22655,1.281951,0.286901,4.46826451,100.936129,True,official_mdd_pass,"8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=soft_safe_mix; tag=ssm08; focus=mix strict lowanchor shocklow as conditional safety, not full entry starvation"
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I095_post_loss_brake_plb45,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,135,72,63,53.333333,1.448357,1.835421,0.422596,4.343209635,101.019641,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb45; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I066_post_loss_brake_plb16,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,173,71,102,41.040462,0.810089,1.019377,0.23575,4.323979661,100.572429,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb16; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I069_post_loss_brake_plb19,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,93,51,42,54.83871,0.837028,1.046667,0.255783,4.092007601,100.579104,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb19; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I094_post_loss_brake_plb44,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,197,94,103,47.715736,1.067505,1.38702,0.377181,3.677337079,100.686298,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb44; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I195_soft_safe_mix_ssm15,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,soft_safe_mix,long,5m,597,175,92,83,52.571429,1.257638,1.425049,0.403505,3.5316723,100.849058,True,official_mdd_pass,"8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=soft_safe_mix; tag=ssm15; focus=mix strict lowanchor shocklow as conditional safety, not full entry starvation"
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I183_soft_safe_mix_ssm03,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,soft_safe_mix,long,5m,597,235,114,121,48.510638,1.330344,1.869004,0.661343,2.826075912,100.660203,True,official_mdd_pass,"8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=soft_safe_mix; tag=ssm03; focus=mix strict lowanchor shocklow as conditional safety, not full entry starvation"
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I093_post_loss_brake_plb43,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,203,92,111,45.320197,0.861422,1.310136,0.472699,2.771609048,100.384651,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb43; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I200_soft_safe_mix_ssm20,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,soft_safe_mix,long,5m,597,170,93,77,54.705882,0.936905,1.324929,0.483047,2.74285525,100.449332,True,official_mdd_pass,"8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=soft_safe_mix; tag=ssm20; focus=mix strict lowanchor shocklow as conditional safety, not full entry starvation"
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I015_edge_restore_er15,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,edge_restore,long,5m,597,56,32,24,57.142857,0.688873,0.688873,0.258006,2.669984687,100.429089,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=edge_restore; tag=er15; focus=restore V51 firing density while keeping 8V6 safety as conditional brake
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I038_edge_restore_er38,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,edge_restore,long,5m,597,61,29,32,47.540984,0.711115,0.711115,0.267006,2.663296122,100.442211,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=edge_restore; tag=er38; focus=restore V51 firing density while keeping 8V6 safety as conditional brake
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I140_volshock_brake_vsb40,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,volshock_brake,long,5m,597,301,146,155,48.504983,2.244324,3.692613,1.396714,2.643786871,100.816264,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=volshock_brake; tag=vsb40; focus=avoid only the short window after adverse volatility shock
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I013_edge_restore_er13,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,edge_restore,long,5m,597,80,38,42,47.5,0.697717,0.853449,0.331625,2.573534186,100.363778,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=edge_restore; tag=er13; focus=restore V51 firing density while keeping 8V6 safety as conditional brake
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I040_edge_restore_er40,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,edge_restore,long,5m,597,40,21,19,52.5,0.567385,0.567385,0.224866,2.523219168,100.341244,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=edge_restore; tag=er40; focus=restore V51 firing density while keeping 8V6 safety as conditional brake
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I014_edge_restore_er14,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,edge_restore,long,5m,597,68,36,32,52.941176,0.695625,0.833948,0.342126,2.437545588,100.351119,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=edge_restore; tag=er14; focus=restore V51 firing density while keeping 8V6 safety as conditional brake
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I115_volshock_brake_vsb15,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,volshock_brake,long,5m,597,277,137,140,49.458484,1.696524,2.971297,1.240405,2.395424902,100.435075,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=volshock_brake; tag=vsb15; focus=avoid only the short window after adverse volatility shock
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I120_volshock_brake_vsb20,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,volshock_brake,long,5m,597,298,147,151,49.328859,1.973907,3.483651,1.45892,2.387828116,100.486189,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=volshock_brake; tag=vsb20; focus=avoid only the short window after adverse volatility shock
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I127_volshock_brake_vsb27,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,volshock_brake,long,5m,597,259,99,160,38.223938,0.843079,1.452656,0.611486,2.375616063,100.226438,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=volshock_brake; tag=vsb27; focus=avoid only the short window after adverse volatility shock
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I114_volshock_brake_vsb14,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,volshock_brake,long,5m,597,285,133,152,46.666667,1.014879,1.689681,0.720989,2.343559567,100.286573,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=volshock_brake; tag=vsb14; focus=avoid only the short window after adverse volatility shock
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I037_edge_restore_er37,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,edge_restore,long,5m,597,68,28,40,41.176471,0.546173,0.666189,0.291342,2.286617716,100.253239,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=edge_restore; tag=er37; focus=restore V51 firing density while keeping 8V6 safety as conditional brake
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I113_volshock_brake_vsb13,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,volshock_brake,long,5m,597,58,28,30,48.275862,0.496129,0.715545,0.314121,2.277926459,100.18045,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=volshock_brake; tag=vsb13; focus=avoid only the short window after adverse volatility shock
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I092_post_loss_brake_plb42,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,260,110,150,42.307692,0.707757,1.251532,0.549617,2.277097617,100.15425,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb42; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I110_volshock_brake_vsb10,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,volshock_brake,long,5m,597,457,210,247,45.95186,2.431688,4.423349,1.96285,2.25353442,100.421108,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=volshock_brake; tag=vsb10; focus=avoid only the short window after adverse volatility shock
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I190_soft_safe_mix_ssm10,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,soft_safe_mix,long,5m,597,203,106,97,52.216749,0.80035,1.267431,0.563524,2.249115699,100.232316,True,official_mdd_pass,"8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=soft_safe_mix; tag=ssm10; focus=mix strict lowanchor shocklow as conditional safety, not full entry starvation"
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I158_adaptive_exit_aex18,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,adaptive_exit,long,5m,597,156,49,107,31.410256,0.772489,1.120213,0.504588,2.220054792,100.264003,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=adaptive_exit; tag=aex18; focus=adaptive exit/hold/stop repair with minimal additional entry filtering
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I135_volshock_brake_vsb35,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,volshock_brake,long,5m,597,274,131,143,47.810219,1.374776,2.538167,1.154697,2.198122748,100.204204,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=volshock_brake; tag=vsb35; focus=avoid only the short window after adverse volatility shock
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I091_post_loss_brake_plb41,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,296,117,179,39.527027,0.54859,1.073145,0.527685,2.033683763,100.01801,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb41; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I119_volshock_brake_vsb19,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,volshock_brake,long,5m,597,278,126,152,45.323741,0.815566,1.629387,0.815805,1.997275054,99.993108,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=volshock_brake; tag=vsb19; focus=avoid only the short window after adverse volatility shock
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I130_volshock_brake_vsb30,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,volshock_brake,long,5m,597,469,214,255,45.628998,1.853191,3.786057,1.901731,1.990847333,99.916217,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=volshock_brake; tag=vsb30; focus=avoid only the short window after adverse volatility shock
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I083_post_loss_brake_plb33,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,567,247,320,43.56261,1.513759,3.142724,1.579331,1.989908413,99.910521,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb33; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I065_post_loss_brake_plb15,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,1072,504,568,47.014925,3.748583,7.996104,4.033795,1.982278389,99.563578,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb15; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I085_post_loss_brake_plb35,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,475,222,253,46.736842,1.613185,3.440189,1.766242,1.947744761,99.81845,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb35; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I059_post_loss_brake_plb09,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,490,207,283,42.244898,1.411206,2.996579,1.539248,1.946781261,99.850236,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb09; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I033_edge_restore_er33,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,edge_restore,long,5m,597,122,53,69,43.442623,0.40085,0.802273,0.415103,1.932707199,99.984083,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=edge_restore; tag=er33; focus=restore V51 firing density while keeping 8V6 safety as conditional brake
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I090_post_loss_brake_plb40,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,959,444,515,46.298227,3.146819,6.867317,3.594439,1.910539336,99.43927,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb40; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I039_edge_restore_er39,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,edge_restore,long,5m,597,43,20,23,46.511628,0.504751,0.516268,0.270986,1.905149956,100.232398,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=edge_restore; tag=er39; focus=restore V51 firing density while keeping 8V6 safety as conditional brake
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I060_post_loss_brake_plb10,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,482,213,269,44.190871,1.532856,3.377874,1.784732,1.892651031,99.720768,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb10; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I139_volshock_brake_vsb39,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,volshock_brake,long,5m,597,271,121,150,44.649446,0.762652,1.614248,0.853094,1.892227453,99.903051,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=volshock_brake; tag=vsb39; focus=avoid only the short window after adverse volatility shock
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I160_adaptive_exit_aex20,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,adaptive_exit,long,5m,597,91,41,50,45.054945,0.64381,0.785926,0.425604,1.846615011,100.215466,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=adaptive_exit; tag=aex20; focus=adaptive exit/hold/stop repair with minimal additional entry filtering
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I189_soft_safe_mix_ssm09,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,soft_safe_mix,long,5m,597,25,12,13,48.0,0.178184,0.178184,0.097528,1.827013734,100.080483,True,official_mdd_pass,"8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=soft_safe_mix; tag=ssm09; focus=mix strict lowanchor shocklow as conditional safety, not full entry starvation"
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I055_post_loss_brake_plb05,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,1481,658,823,44.42944,3.658689,8.995962,4.994738,1.801087702,98.481208,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb05; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I063_post_loss_brake_plb13,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,post_loss_brake,long,5m,597,1237,527,710,42.603072,3.042756,7.442342,4.134624,1.800004468,98.782325,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=post_loss_brake; tag=plb13; focus=post-loss and symbol-dd brake without permanent entry starvation
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I185_soft_safe_mix_ssm05,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,soft_safe_mix,long,5m,597,259,128,131,49.420849,0.664646,1.54162,0.866085,1.779987241,99.792805,True,official_mdd_pass,"8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=soft_safe_mix; tag=ssm05; focus=mix strict lowanchor shocklow as conditional safety, not full entry starvation"
8V7_AB_BEST_200_FROM_8V6_CANDIDATE,8V7_AB_BEST_I025_edge_restore_er25,8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18,core_base_from_8v6_best,edge_restore,long,5m,597,1016,432,584,42.519685,2.530339,6.447578,3.682153,1.751034688,98.755015,True,official_mdd_pass,8V6 improvement from 8V6_P2_CORE_BASE_I088_hybrid_cover_hyb18; group=edge_restore; tag=er25; focus=restore V51 firing density while keeping 8V6 safety as conditional brake
