rank,matched,drift,missing,score,rel_path,rows,columns
1,1,0,3,40,local_results\6V2_LONG10_REVIEWED\6V2_LONG10_REVIEWED_registry.csv,10,batch_label|strategy_name|side|description|timeframe|processed_symbols|trades|wins|losses|win_rate_pct|final_return_pct|max_return_pct|max_drawdown_pct|cd_value|baseline_cd_value|ruined|verdict
2,1,0,3,40,local_results\8V4_LONG400_REVIEWED\8V4_LONG400_REVIEWED_registry.csv,400,batch_label|strategy_name|side|description|timeframe|processed_symbols|trades|wins|losses|win_rate_pct|final_return_pct|max_return_pct|max_drawdown_pct|cd_value|baseline_cd_value|ruined|verdict
3,0,4,0,-20,local_results\8V14_4AXIS_50_EACH_STREAMSAFE\8V14_4AXIS_50_EACH_STREAMSAFE_registry.csv,200,strategy|side|axis|parent|group|entry|trades|wins|losses|win_rate_pct|final_return_pct|max_return_pct|max_drawdown_pct|official_cd_value|name|stop_atr|rr|hold|cooldown|atrp_min|atrp_max|range20_max|vol_min|body_min|close_pos_long_min|close_pos_short_max|wick_min|ret3_floor|ret5_floor|ret10_floor|ret20_floor|ret3_ceil|ret5_ceil|ret10_ceil|ret20_ceil|trend_required|reclaim_required|anchor_required|breakout_bonus|absorb_bonus|be_r|trail_r|trail_atr|fail_bars|fail_pnl|post_loss_after|post_loss_bars|sym_dd_pct|sym_dd_bars|shock_lb|shock_ret5|shock_range|shock_close_pos
4,0,4,0,-20,local_results\8V15_4AXIS_PARENT_PRESERVE_50_EACH_STREAMSAFE\8V15_4AXIS_PARENT_PRESERVE_50_EACH_STREAMSAFE_registry.csv,200,strategy|side|axis|parent|group|entry|trades|wins|losses|win_rate_pct|final_return_pct|max_return_pct|max_drawdown_pct|official_cd_value|parent_baseline_trades|parent_trade_ratio|name|quality_tag|dev_long|dev_short|rsi_long_max|rsi_short_min|stop_atr|rr|hold|cooldown|atrp_min|atrp_max|range20_max|vol_min|body_min|close_pos_long_min|close_pos_short_max|wick_min|ret3_floor|ret5_floor|ret10_floor|ret20_floor|ret3_ceil|ret5_ceil|ret10_ceil|ret20_ceil|trend_required|reclaim_required|anchor_required|breakout_bonus|absorb_bonus|be_r|trail_r|trail_atr|fail_bars|fail_pnl|post_loss_after|post_loss_bars|sym_dd_pct|sym_dd_bars|shock_lb|shock_ret5|shock_range|shock_close_pos
5,0,4,0,-20,local_results\8V25_TP03_FAST1H_FORCE_LOCAL_RESULTS_KEEP_DATA_CWD_NO_BASELINE_TOUCH\8V25_TP03_FAST1H_FORCE_LOCAL_RESULTS_KEEP_DATA_CWD_NO_BASELINE_TOUCH_registry.csv,8,axis|strategy|parent|side|kind|tag|verdict|trades|baseline_trades|parent_trade_ratio|wins|losses|win_rate_pct|final_return_pct|max_return_pct|max_drawdown_pct|official_cd_value|note
6,0,4,0,-20,local_results\8V27_TP03_NO_CANDLE_LIMIT_FAST1H_NO_BASELINE_TOUCH\8V27_TP03_NO_CANDLE_LIMIT_FAST1H_NO_BASELINE_TOUCH_registry.csv,8,axis|strategy|parent|side|kind|tag|verdict|trades|baseline_trades|parent_trade_ratio|wins|losses|win_rate_pct|final_return_pct|max_return_pct|max_drawdown_pct|official_cd_value|note
7,0,4,0,-20,local_results\8V28_LOCAL_MUTATION_NO_CANDLE_LIMIT_1H_NO_BASELINE_TOUCH\8V28_LOCAL_MUTATION_NO_CANDLE_LIMIT_1H_NO_BASELINE_TOUCH_registry.csv,8,axis|strategy|parent|side|kind|tag|verdict|trades|baseline_trades|parent_trade_ratio|wins|losses|win_rate_pct|final_return_pct|max_return_pct|max_drawdown_pct|official_cd_value|note
8,0,4,0,-20,local_results\8V29_LONG_QUALITY_SHORT_NO_TP03_LOCAL_1H\8V29_LONG_QUALITY_SHORT_NO_TP03_LOCAL_1H_registry.csv,8,axis|strategy|parent|side|kind|tag|verdict|trades|baseline_trades|parent_trade_ratio|wins|losses|win_rate_pct|final_return_pct|max_return_pct|max_drawdown_pct|official_cd_value|note
9,0,4,0,-20,local_results\8V30_TP03_PROBE_LONG_LOOSEN_SHORT_TRIM_1H\8V30_TP03_PROBE_LONG_LOOSEN_SHORT_TRIM_1H_registry.csv,12,axis|strategy|parent|side|kind|tag|verdict|trades|baseline_trades|parent_trade_ratio|wins|losses|win_rate_pct|final_return_pct|max_return_pct|max_drawdown_pct|official_cd_value|note
10,0,4,0,-20,local_results\V31_BASELINE_FEE_AUDIT\fee_004\baseline_summary.csv,4,name|axis|parent|side|kind|tag|trades|wins|win_rate|avg_pnl|median_pnl|final_return_pct|max_return_pct|max_drawdown_pct|official_cd_value|min_expected_tp|stop_atr|rr|hold|cooldown|atrp_min|atrp_max|range20_max|vol_min|body_min|close_pos_min|wick_min|dev_short|rsi_short_min|sym_dd_pct|sym_dd_bars|post_loss_after|post_loss_bars|be_r|trail_r|trail_atr|fail_bars|fail_pnl
11,0,4,0,-20,local_results\V31_BASELINE_FEE_AUDIT\fee_004\summary.csv,4,name|axis|parent|side|kind|tag|trades|wins|win_rate|avg_pnl|median_pnl|final_return_pct|max_return_pct|max_drawdown_pct|official_cd_value|min_expected_tp|stop_atr|rr|hold|cooldown|atrp_min|atrp_max|range20_max|vol_min|body_min|close_pos_min|wick_min|dev_short|rsi_short_min|sym_dd_pct|sym_dd_bars|post_loss_after|post_loss_bars|be_r|trail_r|trail_atr|fail_bars|fail_pnl
12,0,4,0,-20,local_results\V31_BASELINE_FEE_AUDIT\fee_010\baseline_summary.csv,4,name|axis|parent|side|kind|tag|trades|wins|win_rate|avg_pnl|median_pnl|final_return_pct|max_return_pct|max_drawdown_pct|official_cd_value|min_expected_tp|stop_atr|rr|hold|cooldown|atrp_min|atrp_max|range20_max|vol_min|body_min|close_pos_min|wick_min|dev_short|rsi_short_min|sym_dd_pct|sym_dd_bars|post_loss_after|post_loss_bars|be_r|trail_r|trail_atr|fail_bars|fail_pnl
13,0,4,0,-20,local_results\V31_BASELINE_FEE_AUDIT\fee_010\summary.csv,4,name|axis|parent|side|kind|tag|trades|wins|win_rate|avg_pnl|median_pnl|final_return_pct|max_return_pct|max_drawdown_pct|official_cd_value|min_expected_tp|stop_atr|rr|hold|cooldown|atrp_min|atrp_max|range20_max|vol_min|body_min|close_pos_min|wick_min|dev_short|rsi_short_min|sym_dd_pct|sym_dd_bars|post_loss_after|post_loss_bars|be_r|trail_r|trail_atr|fail_bars|fail_pnl
14,0,4,0,-20,local_results\V36_EXACT_SOURCE_BASELINE_FEE_AUDIT\original_as_is\8V20_EMBEDDED_PARENT_GATE_4AXIS_50_EACH\8V20_EMBEDDED_PARENT_GATE_4AXIS_50_EACH_registry.csv,4,axis|strategy|parent|side|kind|tag|verdict|trades|baseline_trades|parent_trade_ratio|wins|losses|win_rate_pct|final_return_pct|max_return_pct|max_drawdown_pct|official_cd_value|note
